Date,Time,salesforceName,siteName,energySource,Real Consumption (kWh),TalonRef,Heure Ouverture,Heure Fermeture,Ouverture dim,Margin
2023-06-18,00:00:00,MO0157,SABLONS,ELECTRICITY,130,70,5,22,Journée,15
2023-06-18,01:00:00,MO0157,SABLONS,ELECTRICITY,133,70,5,22,Journée,15
2023-06-18,02:00:00,MO0157,SABLONS,ELECTRICITY,120,70,5,22,Journée,15
2023-06-18,03:00:00,MO0157,SABLONS,ELECTRICITY,121,70,5,22,Journée,15
2023-06-18,04:00:00,MO0157,SABLONS,ELECTRICITY,130,70,5,22,Journée,15
2023-06-18,05:00:00,MO0157,SABLONS,ELECTRICITY,128,70,5,22,Journée,15
2023-06-18,06:00:00,MO0157,SABLONS,ELECTRICITY,149,70,5,22,Journée,15
2023-06-18,07:00:00,MO0157,SABLONS,ELECTRICITY,167,70,5,22,Journée,15
2023-06-18,08:00:00,MO0157,SABLONS,ELECTRICITY,186,70,5,22,Journée,15
2023-06-18,09:00:00,MO0157,SABLONS,ELECTRICITY,185,70,5,22,Journée,15
2023-06-18,10:00:00,MO0157,SABLONS,ELECTRICITY,190,70,5,22,Journée,15
2023-06-18,11:00:00,MO0157,SABLONS,ELECTRICITY,186,70,5,22,Journée,15
2023-06-18,12:00:00,MO0157,SABLONS,ELECTRICITY,188,70,5,22,Journée,15
2023-06-18,13:00:00,MO0157,SABLONS,ELECTRICITY,193,70,5,22,Journée,15
2023-06-18,14:00:00,MO0157,SABLONS,ELECTRICITY,195,70,5,22,Journée,15
2023-06-18,15:00:00,MO0157,SABLONS,ELECTRICITY,192,70,5,22,Journée,15
2023-06-18,16:00:00,MO0157,SABLONS,ELECTRICITY,203,70,5,22,Journée,15
2023-06-18,17:00:00,MO0157,SABLONS,ELECTRICITY,196,70,5,22,Journée,15
2023-06-18,18:00:00,MO0157,SABLONS,ELECTRICITY,201,70,5,22,Journée,15
2023-06-18,19:00:00,MO0157,SABLONS,ELECTRICITY,187,70,5,22,Journée,15
2023-06-18,20:00:00,MO0157,SABLONS,ELECTRICITY,146,70,5,22,Journée,15
2023-06-18,21:00:00,MO0157,SABLONS,ELECTRICITY,137,70,5,22,Journée,15
2023-06-18,22:00:00,MO0157,SABLONS,ELECTRICITY,135,70,5,22,Journée,15
2023-06-18,23:00:00,MO0157,SABLONS,ELECTRICITY,134,70,5,22,Journée,15
2023-06-19,00:00:00,MO0157,SABLONS,ELECTRICITY,132,70,5,22,Journée,15
2023-06-19,01:00:00,MO0157,SABLONS,ELECTRICITY,132,70,5,22,Journée,15
2023-06-19,02:00:00,MO0157,SABLONS,ELECTRICITY,125,70,5,22,Journée,15
2023-06-19,03:00:00,MO0157,SABLONS,ELECTRICITY,125,70,5,22,Journée,15
2023-06-19,04:00:00,MO0157,SABLONS,ELECTRICITY,130,70,5,22,Journée,15
2023-06-19,05:00:00,MO0157,SABLONS,ELECTRICITY,149,70,5,22,Journée,15
2023-06-19,06:00:00,MO0157,SABLONS,ELECTRICITY,175,70,5,22,Journée,15
2023-06-19,07:00:00,MO0157,SABLONS,ELECTRICITY,181,70,5,22,Journée,15
2023-06-19,08:00:00,MO0157,SABLONS,ELECTRICITY,182,70,5,22,Journée,15
2023-06-19,09:00:00,MO0157,SABLONS,ELECTRICITY,192,70,5,22,Journée,15
2023-06-19,10:00:00,MO0157,SABLONS,ELECTRICITY,197,70,5,22,Journée,15
2023-06-19,11:00:00,MO0157,SABLONS,ELECTRICITY,205,70,5,22,Journée,15
2023-06-19,12:00:00,MO0157,SABLONS,ELECTRICITY,208,70,5,22,Journée,15
2023-06-19,13:00:00,MO0157,SABLONS,ELECTRICITY,210,70,5,22,Journée,15
2023-06-19,14:00:00,MO0157,SABLONS,ELECTRICITY,208,70,5,22,Journée,15
2023-06-19,15:00:00,MO0157,SABLONS,ELECTRICITY,198,70,5,22,Journée,15
2023-06-19,16:00:00,MO0157,SABLONS,ELECTRICITY,200,70,5,22,Journée,15
2023-06-19,17:00:00,MO0157,SABLONS,ELECTRICITY,199,70,5,22,Journée,15
2023-06-19,18:00:00,MO0157,SABLONS,ELECTRICITY,204,70,5,22,Journée,15
2023-06-19,19:00:00,MO0157,SABLONS,ELECTRICITY,199,70,5,22,Journée,15
2023-06-19,20:00:00,MO0157,SABLONS,ELECTRICITY,200,70,5,22,Journée,15
2023-06-19,21:00:00,MO0157,SABLONS,ELECTRICITY,192,70,5,22,Journée,15
2023-06-19,22:00:00,MO0157,SABLONS,ELECTRICITY,149,70,5,22,Journée,15
2023-06-19,23:00:00,MO0157,SABLONS,ELECTRICITY,136,70,5,22,Journée,15
2023-06-20,00:00:00,MO0157,SABLONS,ELECTRICITY,129,70,5,22,Journée,15
2023-06-20,01:00:00,MO0157,SABLONS,ELECTRICITY,130,70,5,22,Journée,15
2023-06-20,02:00:00,MO0157,SABLONS,ELECTRICITY,121,70,5,22,Journée,15
2023-06-20,03:00:00,MO0157,SABLONS,ELECTRICITY,125,70,5,22,Journée,15
2023-06-20,04:00:00,MO0157,SABLONS,ELECTRICITY,126,70,5,22,Journée,15
2023-06-20,05:00:00,MO0157,SABLONS,ELECTRICITY,145,70,5,22,Journée,15
2023-06-20,06:00:00,MO0157,SABLONS,ELECTRICITY,166,70,5,22,Journée,15
2023-06-20,07:00:00,MO0157,SABLONS,ELECTRICITY,177,70,5,22,Journée,15
2023-06-20,08:00:00,MO0157,SABLONS,ELECTRICITY,174,70,5,22,Journée,15
2023-06-20,09:00:00,MO0157,SABLONS,ELECTRICITY,210,70,5,22,Journée,15
2023-06-20,10:00:00,MO0157,SABLONS,ELECTRICITY,216,70,5,22,Journée,15
2023-06-20,11:00:00,MO0157,SABLONS,ELECTRICITY,220,70,5,22,Journée,15
2023-06-20,12:00:00,MO0157,SABLONS,ELECTRICITY,213,70,5,22,Journée,15
2023-06-20,13:00:00,MO0157,SABLONS,ELECTRICITY,214,70,5,22,Journée,15
2023-06-20,14:00:00,MO0157,SABLONS,ELECTRICITY,212,70,5,22,Journée,15
2023-06-20,15:00:00,MO0157,SABLONS,ELECTRICITY,203,70,5,22,Journée,15
2023-06-20,16:00:00,MO0157,SABLONS,ELECTRICITY,212,70,5,22,Journée,15
2023-06-20,17:00:00,MO0157,SABLONS,ELECTRICITY,202,70,5,22,Journée,15
2023-06-20,18:00:00,MO0157,SABLONS,ELECTRICITY,202,70,5,22,Journée,15
2023-06-20,19:00:00,MO0157,SABLONS,ELECTRICITY,203,70,5,22,Journée,15
2023-06-20,20:00:00,MO0157,SABLONS,ELECTRICITY,203,70,5,22,Journée,15
2023-06-20,21:00:00,MO0157,SABLONS,ELECTRICITY,196,70,5,22,Journée,15
2023-06-20,22:00:00,MO0157,SABLONS,ELECTRICITY,151,70,5,22,Journée,15
2023-06-20,23:00:00,MO0157,SABLONS,ELECTRICITY,138,70,5,22,Journée,15
2023-06-21,00:00:00,MO0157,SABLONS,ELECTRICITY,134,70,5,22,Journée,15
2023-06-21,01:00:00,MO0157,SABLONS,ELECTRICITY,131,70,5,22,Journée,15
2023-06-21,02:00:00,MO0157,SABLONS,ELECTRICITY,129,70,5,22,Journée,15
2023-06-21,03:00:00,MO0157,SABLONS,ELECTRICITY,126,70,5,22,Journée,15
2023-06-21,04:00:00,MO0157,SABLONS,ELECTRICITY,126,70,5,22,Journée,15
2023-06-21,05:00:00,MO0157,SABLONS,ELECTRICITY,151,70,5,22,Journée,15
2023-06-21,06:00:00,MO0157,SABLONS,ELECTRICITY,167,70,5,22,Journée,15
2023-06-21,07:00:00,MO0157,SABLONS,ELECTRICITY,187,70,5,22,Journée,15
2023-06-21,08:00:00,MO0157,SABLONS,ELECTRICITY,195,70,5,22,Journée,15
2023-06-21,09:00:00,MO0157,SABLONS,ELECTRICITY,198,70,5,22,Journée,15
2023-06-21,10:00:00,MO0157,SABLONS,ELECTRICITY,203,70,5,22,Journée,15
2023-06-21,11:00:00,MO0157,SABLONS,ELECTRICITY,211,70,5,22,Journée,15
2023-06-21,12:00:00,MO0157,SABLONS,ELECTRICITY,214,70,5,22,Journée,15
2023-06-21,13:00:00,MO0157,SABLONS,ELECTRICITY,212,70,5,22,Journée,15
2023-06-21,14:00:00,MO0157,SABLONS,ELECTRICITY,209,70,5,22,Journée,15
2023-06-21,15:00:00,MO0157,SABLONS,ELECTRICITY,207,70,5,22,Journée,15
2023-06-21,16:00:00,MO0157,SABLONS,ELECTRICITY,208,70,5,22,Journée,15
2023-06-21,17:00:00,MO0157,SABLONS,ELECTRICITY,208,70,5,22,Journée,15
2023-06-21,18:00:00,MO0157,SABLONS,ELECTRICITY,209,70,5,22,Journée,15
2023-06-21,19:00:00,MO0157,SABLONS,ELECTRICITY,207,70,5,22,Journée,15
2023-06-21,20:00:00,MO0157,SABLONS,ELECTRICITY,205,70,5,22,Journée,15
2023-06-21,21:00:00,MO0157,SABLONS,ELECTRICITY,196,70,5,22,Journée,15
2023-06-21,22:00:00,MO0157,SABLONS,ELECTRICITY,147,70,5,22,Journée,15
2023-06-21,23:00:00,MO0157,SABLONS,ELECTRICITY,136,70,5,22,Journée,15
2023-06-22,00:00:00,MO0157,SABLONS,ELECTRICITY,127,70,5,22,Journée,15
2023-06-22,01:00:00,MO0157,SABLONS,ELECTRICITY,129,70,5,22,Journée,15
2023-06-22,02:00:00,MO0157,SABLONS,ELECTRICITY,127,70,5,22,Journée,15
2023-06-22,03:00:00,MO0157,SABLONS,ELECTRICITY,124,70,5,22,Journée,15
2023-06-22,04:00:00,MO0157,SABLONS,ELECTRICITY,126,70,5,22,Journée,15
2023-06-22,05:00:00,MO0157,SABLONS,ELECTRICITY,136,70,5,22,Journée,15
2023-06-22,06:00:00,MO0157,SABLONS,ELECTRICITY,188,70,5,22,Journée,15
2023-06-22,07:00:00,MO0157,SABLONS,ELECTRICITY,183,70,5,22,Journée,15
2023-06-22,08:00:00,MO0157,SABLONS,ELECTRICITY,188,70,5,22,Journée,15
2023-06-22,09:00:00,MO0157,SABLONS,ELECTRICITY,191,70,5,22,Journée,15
2023-06-22,10:00:00,MO0157,SABLONS,ELECTRICITY,194,70,5,22,Journée,15
2023-06-22,11:00:00,MO0157,SABLONS,ELECTRICITY,200,70,5,22,Journée,15
2023-06-22,12:00:00,MO0157,SABLONS,ELECTRICITY,197,70,5,22,Journée,15
2023-06-22,13:00:00,MO0157,SABLONS,ELECTRICITY,197,70,5,22,Journée,15
2023-06-22,14:00:00,MO0157,SABLONS,ELECTRICITY,194,70,5,22,Journée,15
2023-06-22,15:00:00,MO0157,SABLONS,ELECTRICITY,204,70,5,22,Journée,15
2023-06-22,16:00:00,MO0157,SABLONS,ELECTRICITY,207,70,5,22,Journée,15
2023-06-22,17:00:00,MO0157,SABLONS,ELECTRICITY,200,70,5,22,Journée,15
2023-06-22,18:00:00,MO0157,SABLONS,ELECTRICITY,204,70,5,22,Journée,15
2023-06-22,19:00:00,MO0157,SABLONS,ELECTRICITY,201,70,5,22,Journée,15
2023-06-22,20:00:00,MO0157,SABLONS,ELECTRICITY,196,70,5,22,Journée,15
2023-06-22,21:00:00,MO0157,SABLONS,ELECTRICITY,186,70,5,22,Journée,15
2023-06-22,22:00:00,MO0157,SABLONS,ELECTRICITY,140,70,5,22,Journée,15
2023-06-22,23:00:00,MO0157,SABLONS,ELECTRICITY,131,70,5,22,Journée,15
2023-06-23,00:00:00,MO0157,SABLONS,ELECTRICITY,123,70,5,22,Journée,15
2023-06-23,01:00:00,MO0157,SABLONS,ELECTRICITY,123,70,5,22,Journée,15
2023-06-23,02:00:00,MO0157,SABLONS,ELECTRICITY,115,70,5,22,Journée,15
2023-06-23,03:00:00,MO0157,SABLONS,ELECTRICITY,122,70,5,22,Journée,15
2023-06-23,04:00:00,MO0157,SABLONS,ELECTRICITY,122,70,5,22,Journée,15
2023-06-23,05:00:00,MO0157,SABLONS,ELECTRICITY,130,70,5,22,Journée,15
2023-06-23,06:00:00,MO0157,SABLONS,ELECTRICITY,170,70,5,22,Journée,15
2023-06-23,07:00:00,MO0157,SABLONS,ELECTRICITY,187,70,5,22,Journée,15
2023-06-23,08:00:00,MO0157,SABLONS,ELECTRICITY,185,70,5,22,Journée,15
2023-06-23,09:00:00,MO0157,SABLONS,ELECTRICITY,189,70,5,22,Journée,15
2023-06-23,10:00:00,MO0157,SABLONS,ELECTRICITY,202,70,5,22,Journée,15
2023-06-23,11:00:00,MO0157,SABLONS,ELECTRICITY,206,70,5,22,Journée,15
2023-06-23,12:00:00,MO0157,SABLONS,ELECTRICITY,205,70,5,22,Journée,15
2023-06-23,13:00:00,MO0157,SABLONS,ELECTRICITY,210,70,5,22,Journée,15
2023-06-23,14:00:00,MO0157,SABLONS,ELECTRICITY,209,70,5,22,Journée,15
2023-06-23,15:00:00,MO0157,SABLONS,ELECTRICITY,203,70,5,22,Journée,15
2023-06-23,16:00:00,MO0157,SABLONS,ELECTRICITY,204,70,5,22,Journée,15
2023-06-23,17:00:00,MO0157,SABLONS,ELECTRICITY,204,70,5,22,Journée,15
2023-06-23,18:00:00,MO0157,SABLONS,ELECTRICITY,198,70,5,22,Journée,15
2023-06-23,19:00:00,MO0157,SABLONS,ELECTRICITY,200,70,5,22,Journée,15
2023-06-23,20:00:00,MO0157,SABLONS,ELECTRICITY,197,70,5,22,Journée,15
2023-06-23,21:00:00,MO0157,SABLONS,ELECTRICITY,196,70,5,22,Journée,15
2023-06-23,22:00:00,MO0157,SABLONS,ELECTRICITY,143,70,5,22,Journée,15
2023-06-23,23:00:00,MO0157,SABLONS,ELECTRICITY,136,70,5,22,Journée,15
2023-06-24,00:00:00,MO0157,SABLONS,ELECTRICITY,133,70,5,22,Journée,15
2023-06-24,01:00:00,MO0157,SABLONS,ELECTRICITY,126,70,5,22,Journée,15
2023-06-24,02:00:00,MO0157,SABLONS,ELECTRICITY,126,70,5,22,Journée,15
2023-06-24,03:00:00,MO0157,SABLONS,ELECTRICITY,123,70,5,22,Journée,15
2023-06-24,04:00:00,MO0157,SABLONS,ELECTRICITY,125,70,5,22,Journée,15
2023-06-24,05:00:00,MO0157,SABLONS,ELECTRICITY,137,70,5,22,Journée,15
