Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au Client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie,Justification,Commentaires,Date de prise en compte,Date de finalisation,Delais traitement,Statut,Impact financier,Catégorisée par
"Angers ""Espace Anjou""",CG350,AES,MY,Electricité,22,6, ,0,RC,Mi-saison,210,2023-06-01,2023-06-04,260,50,6,3,900,Récurrent,0.23809523809523808,Nuit,A définir,Investigation en cours, , ,2023-06-02,,54.0,,84.2004,Rawa
"Angers ""Espace Anjou""",CG350,AES,MY,Electricité,22,6, ,0,RC,Mi-saison,210,2023-06-04,2023-06-04,325,115,9,1,1035,Récurrent,0.5476190476190477,Dim,A définir,Investigation en cours, , ,2023-06-05,,51.0,,96.83046,Rawa
"Angers ""Espace Anjou""",CG350,AES,MY,Electricité,23,6, ,0,RC,Mi-saison,210,2023-06-04,2023-06-06,265,55,6,2,660,Récurrent,0.2619047619047619,Nuit,A définir,Investigation en cours, , ,2023-06-05,,51.0,,61.74696,Rawa
"Angers ""Espace Anjou""",CG350,AES,MY,Electricité,23,6, ,0,RC,Mi-saison,210,2023-06-06,2023-06-07,355,145,4,1,580,Récurrent,0.6904761904761905,Nuit,A définir,Investigation en cours, , ,2023-06-07,,49.0,,54.262480000000004,Rawa
"Angers ""Espace Anjou""",CG350,AES,MY,Electricité,23,6, ,0,RC,Mi-saison,210,2023-06-07,2023-06-11,295,85,6,4,2040,Récurrent,0.40476190476190477,Nuit,A définir,Investigation en cours, , ,2023-06-08,,48.0,,190.85424,Rawa
"Angers ""Espace Anjou""",CG350,AES,MY,Electricité,23,6, ,0,RC,Mi-saison,210,2023-06-11,2023-06-11,320,110,8,1,880,Récurrent,0.5238095238095238,Dim,A définir,Investigation en cours, , ,2023-06-12,,44.0,,82.32928,Rawa
"Angers ""Espace Anjou""",CG350,AES,MY,Electricité,24,6, ,0,RC,Mi-saison,210,2023-06-11,2023-06-18,290,80,6,7,3360,Récurrent,0.38095238095238093,Nuit,A définir,Investigation en cours, ,ECHEC LOG IN,2023-06-12,,44.0,,314.34816,Rawa
"Angers ""Espace Anjou""",CG350,AES,MY,Electricité,24,6, ,0,RC,Mi-saison,210,2023-06-18,2023-06-18,275,65,10,1,650,Récurrent,0.30952380952380953,Dim,A définir,Investigation en cours, ,ECHEC LOG IN,2023-06-19,,37.0,,60.8114,Rawa
"Angers ""Espace Anjou""",CG350,AES,MY,Electricité,25,6, ,0,RC,Mi-saison,210,2023-06-18,2023-06-25,270,60,6,7,2520,Récurrent,0.2857142857142857,Nuit,A définir,Investigation en cours,,Echec log in,2023-06-19,,37.0,,235.76112,Rawa
"Angers ""Espace Anjou""",CG350,AES,MY,Electricité,26,6, ,0,RC,Mi-saison,210,2023-06-25,2023-07-01,265,55,6,6,1980,Récurrent,0.2619047619047619,Nuit,A définir,Investigation en cours , ,Echec log in,2023-06-26,,30.0,,185.24088,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,2,1, ,0,SB,Hiver,40,2023-01-15,2023-01-15,80,40,12,1,480,Récurrent,1.0,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,2023-01-16,,191.0,,44.90688,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,5,2, ,0,SB,Hiver,40,2023-02-05,2023-02-05,80,40,12,1,480,Récurrent,1.0,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,,,,,44.90688,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,6,2, ,0,SB,Hiver,40,2023-02-12,2023-02-12,80,40,12,1,480,Récurrent,1.0,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,,,,,44.90688,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,3,1, ,0,SB,Hiver,40,2023-01-22,2023-01-22,75,35,12,1,420,Récurrent,0.875,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,2023-01-23,,184.0,,39.29352,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,7,2, ,0,ZN,Hiver,40,2023-02-19,2023-02-19,75,35,9,1,315,Récurrent,0.875,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,,,,,29.47014,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,1,1, ,0,SB,Hiver,40,2023-01-08,2023-01-08,70,30,12,1,360,Récurrent,0.75,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,2023-01-09,,198.0,,33.68016,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,4,1, ,0,SB,Hiver,40,2023-01-29,2023-01-29,70,30,12,1,360,Récurrent,0.75,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,2023-01-30,,177.0,,33.68016,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,7,2, ,0,ZN,Hiver,40,2023-02-15,2023-02-16,70,30,7,1,210,Récurrent,0.75,Nuit,Impact Client,Eclairage,Forçage éclairage sur site , ,,,,,19.64676,Rawa
SABLONS,MO0157,SES8,RL,Electricité,1,1, ,0,SB,Hiver,75,2023-01-01,2023-01-08,130,55,8,7,3080,Récurrent,0.7333333333333333,Nuit,Impact Client,Froid,Paramétres centrales Froid déréglés,,2023-01-02,,205.0,,288.15248,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,4,1, ,0,SB,Hiver,150,2023-01-26,2023-01-27,240,90,8,1,720,Récurrent,0.6,Nuit,A définir, , , ,2023-01-27,,180.0,,67.36032,
ANNECY MG,MO2814,Monoprix,RL,Electricité,9,3, ,0,ZN,Mi-saison,45,2023-03-05,2023-03-05,75,30,16,1,480,Récurrent,0.6666666666666666,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,,,,,44.90688,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,6,2, ,0,SB,Hiver,40,2023-02-06,2023-02-07,65,25,4,1,100,Récurrent,0.625,Nuit,Impact Client,Eclairage,Forçage éclairage sur site ,,,,,,9.3556,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,7,2, ,0,ZN,Hiver,40,2023-02-17,2023-02-18,65,25,5,1,125,Récurrent,0.625,Nuit,Impact Client,Eclairage,Forçage éclairage sur site , ,,,,,11.6945,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,8,2, ,0,ZN,Hiver,40,2023-02-26,2023-02-26,65,25,16,1,400,Récurrent,0.625,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,,,,,37.4224,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,10,3, ,0,ZN,Mi-saison,45,2023-03-09,2023-03-10,70,25,2,1,50,Récurrent,0.5555555555555556,Nuit,Impact Client,Eclairage,Forçage Eclairage sur GTC,,,,,,4.6778,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,10,3, ,0,ZN,Mi-saison,45,2023-03-12,2023-03-12,70,25,16,1,400,Récurrent,0.5555555555555556,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,,,,,37.4224,Rawa
SABLONS,MO0157,SES8,RL,Electricité,2,1, ,0,SB,Hiver,75,2023-01-08,2023-01-12,115,40,8,4,1280,Récurrent,0.5333333333333333,Nuit,Impact Client,Froid,Paramétres centrales Froid déréglés,,2023-01-09,,198.0,,119.75168,Rawa
SABLONS,MO0157,SES8,RL,Electricité,6,2, ,0,ZN,Hiver,75,2023-02-09,2023-02-10,110,35,1,1,35,Récurrent,0.4666666666666667,Nuit,Impact Client,Froid,Paramétres centrales Froid déréglés, ,,,,,3.27446,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,10,3, ,0,ZN,Mi-saison,45,2023-03-06,2023-03-07,65,20,3,1,60,Récurrent,0.4444444444444444,Nuit,Impact Client,Eclairage,Forçage Eclairage sur GTC,,,,,,5.61336,Rawa
SABLONS,MO0157,SES8,RL,Electricité,6,2, ,0,ZN,Hiver,75,2023-02-10,2023-02-11,105,30,1,1,30,Récurrent,0.4,Nuit,Impact Client,Froid,Paramétres centrales Froid déréglés, ,,,,,2.80668,Rawa
SABLONS,MO0157,SES8,RL,Electricité,2,1, ,0,SB,Hiver,75,2023-01-12,2023-01-15,100,25,8,3,600,Récurrent,0.3333333333333333,Nuit,Impact Client,Froid,Paramétres centrales Froid déréglés,,2023-01-13,,194.0,,56.1336,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,7,2, ,0,ZN,Hiver,150,2023-02-14,2023-02-15,230,80,7,1,560,Récurrent,0.5333333333333333,Nuit,A définir, ,,,,,,,52.39136,Rawa
SABLONS,MO0157,SES8,RL,Electricité,4,1, ,0,SB,Hiver,75,2023-01-22,2023-01-29,100,25,7,7,1225,Récurrent,0.3333333333333333,Nuit,Impact Client,Froid,Paramétres centrales Froid déréglés, ,2023-01-23,,184.0,,114.6061,Rawa
SABLONS,MO0157,SES8,RL,Electricité,5,1, ,0,SB,Hiver,75,2023-01-29,2023-01-31,100,25,7,2,350,Récurrent,0.3333333333333333,Nuit,Impact Client,Froid,Paramétres centrales Froid déréglés, ,2023-01-30,,177.0,,32.7446,Rawa
