Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie
AIX EST,CS625,SES,DM,Electricité,23,6, ,0,RC,Eté,100,2023-06-05,2023-06-11,110,10.0,5.0,6,300.0,Récurrent,0.1,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,24,6, ,0,HH,Eté,100,2023-06-11,2023-06-18,115,15.0,5.0,7,525.0,Récurrent,0.15,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,22,6, ,0,RC,Eté,100,2023-06-01,2023-06-04,120,20.0,5.0,3,300.0,Récurrent,0.2,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,25,6, ,0,HH,Eté,100,2023-06-18,2023-06-25,120,20.0,5.0,7,700.0,Récurrent,0.2,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,26,6, ,0,HH,Eté,100,2023-06-25,2023-07-01,120,20.0,5.0,6,600.0,Récurrent,0.2,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,23,6, ,0,RC,Eté,100,2023-06-04,2023-06-05,145,45.0,5.0,1,225.0,Récurrent,0.45,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,22,6, ,0,RC,Eté,100,2023-06-04,2023-06-11,165,65.0,9.0,2,1170.0,Récurrent,0.65,Dim,Impact Client,Changement de comportement
AIX EST,CS625,SES,DM,Electricité,25,6, ,0,HH,Eté,100,2023-06-25,2023-06-25,175,75.0,9.0,1,675.0,Récurrent,0.75,Dim,Impact Client,Changement de comportement
AIX EST,CS625,SES,DM,Electricité,24,6, ,0,HH,Eté,100,2023-06-18,2023-06-18,200,100.0,9.0,1,900.0,Récurrent,1,Dim,Impact Client,Changement de comportement
ANDERNOS,CS697,SES,EE,Electricité,24,6, ,0,HH,Eté,80,2023-06-18,2023-06-18,85,5.0,7.0,1,35.0,Récurrent,0.0625,Dim,Impact Client,Changement de comportement
ANDERNOS,CS697,SES,EE,Electricité,26,6, ,0,HH,Eté,80,2023-06-25,2023-06-26,85,5.0,1.0,1,5.0,Récurrent,0.0625,Nuit,Impact Client,Changement de comportement
ANDERNOS,CS697,SES,EE,Electricité,23,6, ,0,RC,Eté,80,2023-06-11,2023-06-11,90,10.0,6.0,1,60.0,Récurrent,0.125,Dim,Impact Client,Changement de comportement
ANDERNOS,CS697,SES,EE,Electricité,25,6, ,0,HH,Eté,80,2023-06-25,2023-06-25,95,15.0,8.0,1,120.0,Récurrent,0.1875,Dim,Impact Client,Changement de comportement
